,ID,Station
0,TU000017040,RIZE                   
1,TU000017062,ISTANBUL               
2,TU000017074,KASTAMONU              
3,TU000017090,SIVAS                  
4,TU000017170,VAN                    
5,TU000017240,ISPARTA                
6,TU000017375,FINIKE                 
7,TUM00017022,ZONGULDAK              
8,TUM00017026,SINOP                  
9,TUM00017030,SAMSUN                 
10,TUM00017034,GIRESUN                
11,TUM00017045,ARTVIN                 
12,TUM00017050,EDIRNE                 
13,TUM00017056,TEKIRDAG               
14,TUM00017064,ISTANBUL BOLGE (KARTAL)
15,TUM00017069,ADAPAZARI              
16,TUM00017070,BOLU                   
17,TUM00017080,CANKIRI                
18,TUM00017084,CORUM                  
19,TUM00017086,TOKAT                  
20,TUM00017088,GUMUSHANE              
21,TUM00017090,SIVAS (CIV/MIL)        
22,TUM00017092,ERZINCAN               
23,TUM00017096,ERZURUM                
24,TUM00017098,KARS                   
25,TUM00017099,AGRI                   
26,TUM00017112,CANAKKALE              
27,TUM00017116,BURSA                  
28,TUM00017130,ANKARA/CENTRAL         
29,TUM00017140,YOZGAT                 
30,TUM00017150,BALIKESIR              
31,TUM00017155,KUTAHYA                
32,TUM00017160,KIRSEHIR               
33,TUM00017188,USAK                   
34,TUM00017190,AFYON                  
35,TUM00017193,NEVSEHIR               
36,TUM00017199,MALATYA/BOLGE          
37,TUM00017202,ELAZIG                 
38,TUM00017203,BINGOL                 
39,TUM00017204,MUS                    
40,TUM00017210,SIIRT                  
41,TUM00017220,IZMIR/GUZELYALI        
42,TUM00017234,AYDIN                  
43,TUM00017237,DENIZLI                
44,TUM00017244,KONYA                  
45,TUM00017250,NIGDE                  
46,TUM00017255,KAHRAMANMARAS          
47,TUM00017260,OGUZELI                
48,TUM00017265,ADIYAMAN               
49,TUM00017270,SANLIURFA              
50,TUM00017280,DIYARBAKIR             
51,TUM00017282,BATMAN                 
52,TUM00017285,HAKKARI                
53,TUM00017292,MUGLA                  
54,TUM00017300,ANTALYA                
55,TUM00017340,MERSIN                 
56,TUM00017370,ISKENDERUN             
57,TUW00033207,IZMIR                  
58,TUW00033308,INCIRLIK               
